village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,ndbi_2019,lights_2019,ndbi_2019_image_count,lights_2019_image_count
115,Anose,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6322763,96.0147489,35.94683270524162,control (non-VVP),True,-0.3316322676527075,0.19879578366528344,288,12
116,恰帕,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6587596,96.0107761,36.10892685686056,control (non-VVP),True,-0.2430174035481165,0.18715472462663194,288,12
117,Ilupu,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7766747,95.8707591,36.53752328568139,control (non-VVP),True,-0.12317624269107616,1.465533820739118,144,12
118,Alombro,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8912928,95.8139536,37.44827678081757,control (non-VVP),True,-0.15602005563610977,0.1976401297280146,288,12
119,岷东,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7733786,95.8573956,37.85177130688197,control (non-VVP),True,-0.14725033607272953,0.23956243349955636,144,12
120,昂里,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6444365,95.9929441,38.360632618269065,control (non-VVP),True,-0.28167951713546513,0.20268355373966007,288,12
121,Aruko,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6365123,96.0073067,38.42709422070483,control (non-VVP),True,-0.33343932781536223,0.18540331703193944,288,12
122,阿米里,Dibang Valley,Unknown,Arunachal Pradesh,True,28.3999197,95.9040857,39.043917134710846,control (non-VVP),True,-0.20657870203579473,0.2529611926949064,145,12
123,Ashambra,Dibang Valley,Unknown,Arunachal Pradesh,True,28.4083935,95.8960457,39.78552162439113,control (non-VVP),True,-0.1697866908455545,0.23049420764828474,145,12
124,Immli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7250516,95.8683257,39.89816301809222,control (non-VVP),True,-0.2115901462731604,0.2097806979266954,144,12
125,Koronli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.4146922,95.8929454,40.07023852433401,control (non-VVP),True,-0.19431643236060794,0.20138272175050606,145,12
126,柯委,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7183921,95.8681743,40.35795197178727,control (non-VVP),True,-0.2031294765971507,0.24360244541962056,144,12
127,鲁波,Dibang Valley,Unknown,Arunachal Pradesh,True,28.4499048,95.8843525,41.02762145083768,control (non-VVP),True,-0.35919448484246697,0.19966274413025434,145,12
128,Ichigo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.5155155,95.8937841,41.32167078574314,control (non-VVP),True,-0.31218585560647333,0.17523544595822343,145,12
129,Arope,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6313227,95.9389968,42.48747530154613,control (non-VVP),True,-0.2939792980979138,0.2017188666084202,288,12
130,Waing,East Kameng,Unknown,Arunachal Pradesh,True,27.7737215,92.9303658,28.808420130737865,control (non-VVP),True,-0.303193507446773,0.2404814804262585,145,12
131,Saria Takhong,East Kameng,Unknown,Arunachal Pradesh,True,27.7461293,92.9324466,30.596867243551923,control (non-VVP),True,-0.27872613829622434,0.22784683673945436,145,12
132,Takung Sullung,East Kameng,Unknown,Arunachal Pradesh,True,27.737803,92.9545701,32.951598760424496,control (non-VVP),True,-0.2860258777053285,0.23736573947800532,145,12
133,Weigung Sullung,East Kameng,Unknown,Arunachal Pradesh,True,27.7282868,92.9780365,35.489345723754084,control (non-VVP),True,-0.28373143606817425,0.23317575212713076,145,12
134,Mechar,East Kameng,Unknown,Arunachal Pradesh,True,27.7792152,93.0216134,36.19220014344069,control (non-VVP),True,-0.25047832671586184,0.23664163611622097,290,12
135,Mechi,East Kameng,Unknown,Arunachal Pradesh,True,27.7740086,93.0208212,36.435710208882135,control (non-VVP),True,-0.24826786538024126,0.22057490234964347,290,12
136,Yakli,East Kameng,Unknown,Arunachal Pradesh,True,27.7643991,93.0211222,37.03298419591293,control (non-VVP),True,-0.24040361581120062,0.2385348377254723,290,12
