village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2021,ndbi_n_2021,lights_2021,lights_n_2021,ndbi_2023,ndbi_n_2023,lights_2023,lights_n_2023,ndbi_2025,ndbi_n_2025,lights_2025,lights_n_2025,ndbi_slope,ndbi_trend_r2,lights_slope,lights_trend_r2
44,Lengdi/Liang,East Kameng,Bameng,Arunachal Pradesh,True,27.5376292,92.923885,-0.234692788788254,146,0.3480050786825119,12,-0.2616433688057309,143,0.3559142171865661,12,-0.2700860565916426,170,0.3329646394295832,12,-0.008848316950847146,0.9164652200362389,-0.0037601098132321736,0.41611529711396283
45,Upper Liyak,East Kameng,Bameng,Arunachal Pradesh,True,27.5337804,92.8465101,-0.2174105555594895,146,0.3101845586659925,12,-0.2401785950596964,143,0.3501659184360931,12,-0.2324112698772981,170,0.2985878103731462,12,-0.0037501785794521523,0.41995379071480726,-0.002899187073211573,0.045916984769280765
46,Dao,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7832832,92.9383609,-0.2775625959423823,146,0.3054818701201618,12,-0.271515980572434,143,0.329282276390263,12,-0.3007684774850257,170,0.2623806860252438,12,-0.0058014703856608535,0.5645645545452936,-0.010775296023729508,0.403850789413271
47,Dara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.732817,93.0487159,-0.2772509344916001,292,0.3169110007376442,12,-0.2572991241664973,288,0.3859057990271377,12,-0.2953562709951266,343,0.2790830482540853,12,-0.004526334125881631,0.2261518275980058,-0.009456988120889728,0.12194011928861695
48,Lamrah,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6967225,93.0373888,-0.2519200362470328,292,0.276846293773916,12,-0.2553711295459155,290,0.3170138969686296,12,-0.2518915137235767,345,0.3395953679084778,12,7.13063086402177e-06,5.080655369561962e-05,0.01568726853364044,0.974485895591172
49,Loto Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7296573,93.059293,-0.2642697638498285,292,0.3144410130013241,12,-0.2586814276652094,288,0.3492116110378436,12,-0.2823921736885204,343,0.2839634849784079,12,-0.004530602459672975,0.5343952102455392,-0.007619382005729049,0.2178698524595888
50,Diya Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7760452,93.0124888,-0.2814937477286812,292,0.3466880326486352,12,-0.2703970468052454,286,0.3297482283750638,12,-0.3207277729348564,343,0.2116109258521228,12,-0.009808506301543798,0.5503260482301053,-0.0337692766991281,0.8423948205539494
51,Hara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.751648,93.1327809,-0.2806653889192329,146,0.3363132438888506,12,-0.2773623814223157,143,0.3609244798842285,12,-0.2652776173485389,173,0.3056045282366019,12,0.0038469428926735105,0.9020670386037556,-0.007677178913062174,0.30690540704196845
52,Jayang Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7547367,93.1791026,-0.2580925020331955,146,0.350594046828467,12,-0.2556385431931751,143,0.3818798868682796,12,-0.2699279719934839,173,0.3175800725734433,12,-0.0029588674900720975,0.59984213165261,-0.008253493563755931,0.26355522098309336
53,Kesse Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7809294,93.2034502,-0.2349641480017998,146,0.3332824054029252,12,-0.2283466151863321,143,0.3208074156443277,12,-0.2464347078171263,173,0.2810249929957919,12,-0.002867639953831623,0.392722600802852,-0.013064353101783317,0.9165720974896159
54,Langchu Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7569534,92.9355132,-0.2864978758532931,146,0.338889203783133,12,-0.2359814286718262,144,0.3325844468810245,12,-0.3070037772383512,170,0.2439606558108383,12,-0.005126475346264522,0.07867921110359503,-0.023732136993073666,0.7995776138219804
55,Nampe Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7140627,93.0313033,-0.293692565369805,292,0.3409214914840686,12,-0.2453868538350759,290,0.3578247993786245,12,-0.3200580549307877,345,0.3426085759311051,12,-0.006591372390245681,0.12118361613988095,0.00042177111175913107,0.00820874515772043
56,Raro Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6890058,93.0717372,-0.3180837507099442,292,0.3194357850702939,12,-0.2509977648729006,290,0.3260300659257213,12,-0.3156770537581248,345,0.3070285870529761,12,0.0006016742379548468,0.0009998335081239534,-0.0031017995043294555,0.4134581946681937
57,Tamsang Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6760974,93.0917894,-0.210606965310406,292,0.3223363103877221,12,-0.24903642225445,290,0.3325009270504649,12,-0.2619234923059966,343,0.3068991773096579,12,-0.012829131748897646,0.9237172657267877,-0.0038592832695160534,0.3585065711101909
58,Warriam Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7279436,92.9802579,-0.2570441434218275,146,0.331798499586892,12,-0.3117411716282202,145,0.3974453861767289,12,-0.281711274459836,171,0.261796609897398,12,-0.006166782759502123,0.2027311333550778,-0.0175004724223735,0.26621871288121807
