village_id,village,district,block,state,is_core_sample,latitude,longitude
194,Ramthang,North,Kabi Tingda,Sikkim,True,27.4039854,88.550947
195,Rongong,North,Kabi Tingda,Sikkim,True,27.4092,88.5635
196,Tangyek,North,Kabi Tingda,Sikkim,True,27.4207,88.527
197,Tingchim,North,Kabi Tingda,Sikkim,True,27.4607586,88.5277316
198,Tingda,North,Kabi Tingda,Sikkim,True,27.3957,88.6272
199,Tumlong,North,Kabi Tingda,Sikkim,True,27.4198712,88.5898311
200,Lachen,North,Lachen,Sikkim,True,27.7305455,88.5469054
201,Lachung,North,Lachung,Sikkim,True,27.7794,88.7152648
202,Barfok,North,Passingdang,Sikkim,True,27.4977,88.491
203,Gor,North,Passingdang,Sikkim,True,27.4302826,88.4984203
204,Hee-Gyathang,North,Passingdang,Sikkim,True,27.4816,88.4991
205,Lingdem,North,Passingdang,Sikkim,True,27.5494817,88.4569319
206,Lingdong,North,Passingdang,Sikkim,True,27.5073091,88.5194632
207,Lingthem,North,Passingdang,Sikkim,True,27.5224732,88.5014686
208,Lingzah-Tolung,North,Passingdang,Sikkim,True,27.571,88.4466
209,Lum,North,Passingdang,Sikkim,True,27.394,88.48
210,Namok,North,Passingdang,Sikkim,True,27.4504654,88.5375829
211,Sakyong-Pentong,North,Passingdang,Sikkim,True,27.5797,88.4049
212,Salim Pakel,North,Passingdang,Sikkim,True,27.5379,88.5518
213,Sangtok,North,Passingdang,Sikkim,True,27.4091,88.504
214,Sheyam,North,Passingdang,Sikkim,True,27.4367,88.528
215,Shipgyer,North,Passingdang,Sikkim,True,27.5544461,88.6336147
216,Tingbong,North,Passingdang,Sikkim,True,27.5524,88.4984
217,Zimchung,North,Passingdang,Sikkim,True,27.4903,88.5321
218,Bampa,Chamoli,Joshimath,Uttarakhand,True,30.7436664,79.8297153
219,Gamsali,Chamoli,Joshimath,Uttarakhand,True,30.7559986,79.8261873
220,Gurguti,Chamoli,Joshimath,Uttarakhand,True,30.7738,79.8758
221,Joshimath,Chamoli,Joshimath,Uttarakhand,True,30.5555752,79.5612607
222,Kailashpur,Chamoli,Joshimath,Uttarakhand,True,30.7148,79.8639
223,Mahargaon,Chamoli,Joshimath,Uttarakhand,True,30.4061118,79.4205814
224,Malari,Chamoli,Joshimath,Uttarakhand,True,30.6845508,79.8893688
225,Mana,Chamoli,Joshimath,Uttarakhand,True,30.9671228,79.4109692
226,Bilju,Pithoragarh,Munsyari,Uttarakhand,True,30.3949398,80.1659059
227,Burphu,Pithoragarh,Munsyari,Uttarakhand,True,30.3666548,80.1842308
228,Martoli,Pithoragarh,Munsyari,Uttarakhand,True,30.3482498,80.1931552
229,Rilkot,Pithoragarh,Munsyari,Uttarakhand,True,30.3104468,80.2080315
230,Tola,Pithoragarh,Munsyari,Uttarakhand,True,30.3356863,80.2121168
231,Baling,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.2092254,80.5479905
232,Dar,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.069216,80.602947
233,Dugtu,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.21,80.5679
234,Garbyang,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.1251387,80.8575277
235,Gunji,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.1865763,80.8508108
236,Kuti,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.3078792,80.7599224
237,Navi,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.2049725,80.8373063
238,Rongkong (Raung Kong),Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.2033451,80.8316381
239,Sela,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.1472581,80.6056591
240,Tidang,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.246,80.5487
241,Amali,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,29.7039,80.3278
242,Bagori,Uttarkashi,Bhatwari,Uttarakhand,True,30.7702443,78.4746317
243,Dharali,Uttarkashi,Bhatwari,Uttarakhand,True,31.0408468,78.7815312
244,Harshil,Uttarkashi,Bhatwari,Uttarakhand,True,31.0350501,78.7572289
245,Jadung,Uttarkashi,Bhatwari,Uttarakhand,True,31.1648,79.0397
246,Jaspur,Uttarkashi,Bhatwari,Uttarakhand,True,30.727214,78.4636435
247,Jhala,Uttarkashi,Bhatwari,Uttarakhand,True,31.0248573,78.7101354
248,Mukhawa,Uttarkashi,Bhatwari,Uttarakhand,True,31.0542,78.7901
249,Nelang,Uttarkashi,Bhatwari,Uttarakhand,True,31.121954,79.0304088
250,Purali,Uttarkashi,Bhatwari,Uttarakhand,True,31.0299258,78.7099965
251,Sukki,Uttarkashi,Bhatwari,Uttarakhand,True,31.014,78.7108
252,Chhitkul,Kinnaur,Unknown,Himachal Pradesh,False,31.3881,78.46219
253,Pooh,Kinnaur,Unknown,Himachal Pradesh,False,31.76159,78.5839324
254,Nako,Kinnaur,Unknown,Himachal Pradesh,False,31.8813748,78.6270483
255,Leo,Kinnaur,Unknown,Himachal Pradesh,False,31.8839167,78.5935199
256,Chango,Kinnaur,Unknown,Himachal Pradesh,False,31.9777573,78.5944015
257,Gue,Lahaul and Spiti,Unknown,Himachal Pradesh,False,32.1310531,78.5697113
258,Lalung,Lahaul and Spiti,Unknown,Himachal Pradesh,False,32.14927,78.27071
