village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2021,ndbi_n_2021,lights_2021,lights_n_2021,ndbi_2023,ndbi_n_2023,lights_2023,lights_n_2023,ndbi_2025,ndbi_n_2025,lights_2025,lights_n_2025
97,Dape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0305059,93.4762607,-0.2872536408492523,25,0.355674381113483,4,-0.19971752123483646,25,0.18892776418653892,4,-0.2341421963177576,30,0.30831828081042717,4
98,Dare,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.040746,93.4566336,-0.25306146337011737,25,0.3853989912063948,4,-0.2058647591329265,25,0.22075892061859897,4,-0.2238980211377063,30,0.3513420767350388,4
99,Geyang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.032302,93.4718342,-0.2725685481281262,25,0.35825782890954555,4,-0.182596305202341,25,0.1902209157144997,4,-0.19942394742785227,30,0.3221672199649832,4
100,Gonang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9884834,93.5169908,-0.200440786805615,50,0.31306741338097654,4,-0.235801850385363,50,0.21395224429918144,4,-0.20781927774418982,60,0.32742977909157783,4
101,Nyokuriang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0062351,93.5622034,-0.20958063691613532,50,0.39535000317626534,4,-0.22899857758613057,50,0.16388610950774618,4,-0.20994562235663558,60,0.31360555529594425,4
102,Pachang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0250521,93.4720132,-0.2301862453413153,50,0.3887541687594637,4,-0.1955316735050254,50,0.17525583921669585,4,-0.18823143058565936,60,0.32719966871985073,4
103,Pado I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9756026,93.5757879,-0.24352065210452087,50,0.3720418906744632,4,-0.23689633826335754,50,0.20733799215135626,4,-0.26818903863791477,60,0.289994406833329,4
104,Pagam,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.049312,93.4584998,-0.3158282044089014,25,0.3338535909494643,4,-0.19328369052393082,25,0.18615193171889743,4,-0.2370239873145267,30,0.35983425210852654,4
105,Pape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0129617,93.4902587,-0.2580965191306212,50,0.35564372494204854,4,-0.2274072313589483,50,0.17175915354364585,4,-0.2334909728496681,60,0.3803079917150386,4
106,Pariang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0328165,93.4803814,-0.3154115146903462,25,0.35290404194265634,4,-0.21725805503268272,25,0.1295342299205018,4,-0.24322237099936925,30,0.2571689095828937,4
107,Passik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0360017,93.4705453,-0.30897716851454027,25,0.3507488811334682,4,-0.1758406636522318,25,0.14578786238463787,4,-0.2238472384618316,30,0.31650333667385544,4
108,Pilop,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.004125,93.5674707,-0.23553008773171194,50,0.36685803063989225,4,-0.22538050009096353,50,0.10395079175204175,4,-0.21964007907779007,60,0.3034756790458886,4
109,Rashik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0080613,93.5508476,-0.28038045919204624,50,0.3953216701207797,4,-0.23537824255827736,50,0.17904345011738035,4,-0.27982874397292845,60,0.34623589092533424,4
110,Yarba-I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.96349,93.5654022,-0.2524356765232599,50,0.35963179261845474,4,-0.24859874440472066,50,0.31855205536416725,4,-0.261892107657375,60,0.2772757464139036,4
111,Bala,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9431025,93.1252507,-0.2720646219284013,98,0.3465100174751112,4,-0.29044026316539406,98,0.3009148996584408,4,-0.2570357759960593,121,0.36314238433843193,4
112,Chaching,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9375989,93.2339474,-0.2897243740231963,98,0.4138081963865826,4,-0.22480084550645446,98,0.2690881343347799,4,-0.26322534554583615,121,0.3466463423356778,4
113,Chulu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8792111,93.0545229,-0.26454356683763064,98,0.3891010012862156,4,-0.2676026029097186,98,0.30660100150584646,4,-0.28052458989258194,120,0.3706465051256194,4
114,Gane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9643147,93.0391329,-0.2381267265996641,196,0.3919966248344918,4,-0.30977701390784756,196,0.3050646775551936,4,-0.238037423111569,237,0.21293025944042523,4
115,Haraiho,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9804475,93.1383943,-0.289861767780243,98,0.39181005488560844,4,-0.25623882044496576,98,0.3325614468178936,4,-0.29567999275535417,121,0.35704189562264765,4
