village_id,village,district,block,state,is_core_sample,latitude,longitude,building_count,building_total_area_m2,building_mean_confidence
107,Passik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0360017,93.4705453,22,2372.2982215881348,0.8368999903852289
108,Pilop,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.004125,93.5674707,16,2261.1152267456055,0.8247499987483025
109,Rashik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0080613,93.5508476,22,1821.67777633667,0.8241000012917952
110,Yarba-I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.96349,93.5654022,46,3648.579751968384,0.8302782592566117
111,Bala,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9431025,93.1252507,4,406.2865905761719,0.8794499933719635
112,Chaching,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9375989,93.2339474,10,829.5796051025391,0.8053799986839294
113,Chulu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8792111,93.0545229,4,108.37760162353516,0.800900012254715
114,Gane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9643147,93.0391329,14,1261.4056015014648,0.8673142875943866
115,Haraiho,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9804475,93.1383943,0,0.0,
116,Kapu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8879985,93.075251,104,9804.16600227356,0.8538596160136737
117,Koropu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9899045,93.2023371,20,1228.345603942871,0.8117699980735779
118,Machane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9220981,93.0770012,2,72.0647964477539,0.7817000150680542
119,Malo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9563848,93.1153543,24,1684.1734104156494,0.8332999994357427
120,Milli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9506354,93.0574678,50,4270.787815093994,0.8466159987449646
121,Namjo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.942996,93.1849686,0,0.0,
122,New Sarli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9582217,93.1705235,54,5449.222023010254,0.8094518515798781
123,Riya,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8776779,93.0467319,10,849.296028137207,0.865939998626709
124,Sape,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9549291,93.1321419,82,6181.8758335113525,0.8302170765109178
125,Sarli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9525582,93.163373,416,41228.2562046051,0.8239504803831761
126,Sate,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9537376,93.1572444,220,21123.943965911865,0.8197190902449868
127,Wabia,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9413919,93.1360402,42,3807.39337348938,0.8438809485662551
128,Walu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9413919,93.1360402,42,3807.39337348938,0.8438809485662551
129,Waru,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8852647,93.0448126,42,4091.3513793945312,0.8539095237141564
130,Chanli,Lower Dibang,Hunli-Desali,Arunachal Pradesh,True,28.2923493,96.0296242,36,4351.25838470459,0.8186000088850657
131,Broxer,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.622647,91.9631993,64,2468.0594177246094,0.7935156282037497
132,Luguthang,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.5948234,92.1857466,44,2597.792392730713,0.8293454538692128
133,Mago,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.6883395,92.2081099,0,0.0,
134,Namazing,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.5506261,91.9768197,10,586.5837898254395,0.7705599904060364
135,Rho,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.6141065,91.987227,258,23037.26146888733,0.8334302338518838
136,Kitpi,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284,452,48442.07217693329,0.8282592924295273
137,Kitpi II,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284,452,48442.07217693329,0.8282592924295273
138,Famla,Tawang,Tawang,Arunachal Pradesh,True,27.5612427,91.8523298,266,27349.179555892944,0.8296563943525902
139,Gyangong Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.6003059,91.8525209,92,6031.230409622192,0.8130521722461866
140,Jangda,Tawang,Tawang,Arunachal Pradesh,True,27.5942319,91.9742379,270,20770.566659927368,0.8139348149299621
141,Mandrelling,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249,1626,212876.843416214,0.8245114395979146
142,Sakpret,Tawang,Tawang,Arunachal Pradesh,True,27.57568,91.79901,132,10832.668594360352,0.8224833345774448
143,Shyro,Tawang,Tawang,Arunachal Pradesh,True,27.5744459,91.9464757,48,3225.2693881988525,0.8175499985615412
144,Singsore Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249,1626,212876.843416214,0.8245114395979146
145,Tawang Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5866091,91.8573902,482,64702.18620491028,0.8263854780137786
146,Thongleng,Tawang,Tawang,Arunachal Pradesh,True,27.57294,91.79215,176,19094.911268234253,0.8346056836572561
147,Brokenthang,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7352592,91.724121,126,14886.222537994385,0.8183809490430922
148,Gorsam,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6973252,91.7142454,88,13379.563159942627,0.8518977260047739
