village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count,ndbi_change,lights_change
59,Wallong,East Kameng,Khenewa,Arunachal Pradesh,True,27.6530641,92.9685879,-0.247173070086126,-0.2773426614767024,49,60,0.2951085803437073,0.2396380892210123,4,4,-0.0301695913905764,-0.055470491122695004
60,Chate,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1191826,93.3236259,-0.2932178964432387,-0.2622015727095705,49,60,0.3791554432726067,0.2218153762195246,4,4,0.031016323733668194,-0.1573400670530821
61,Chulla,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1242982,93.411274,-0.2794907390864677,-0.2810210898289113,49,60,0.4198083370554407,0.1375676432315768,4,4,-0.0015303507424435647,-0.28224069382386385
62,Damin H.Q.,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1041982,93.3343841,-0.2369193355189544,-0.2097779975522245,49,60,0.3535869555462695,0.3111594198572729,4,4,0.027141337966729878,-0.0424275356889966
63,Damin Village,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1050092,93.3443566,-0.2495229110383979,-0.2731733269846547,49,60,0.3310282699218611,0.2310282648303556,4,4,-0.023650415946256775,-0.10000000509150547
64,Digok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1272533,93.3496878,-0.2657118183671154,-0.2540666826163172,49,60,0.3498470534273197,0.1963181331074145,4,4,0.011645135750798175,-0.1535289203199052
65,Fuba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1198537,93.3376816,-0.2946788569751516,-0.2577136334669405,49,60,0.4310930607163852,0.1765162548376038,4,4,0.03696522350821113,-0.2545768058787814
66,Huri,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1095105,93.3045975,-0.2718530814976503,-0.2327977944748027,49,60,0.3779439510039563,0.2691537181657638,4,4,0.03905528702284761,-0.1087902328381925
67,Katuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1189094,93.2501395,-0.2639251515045057,-0.225960843333231,49,60,0.4039961216987762,0.2947151544874749,4,4,0.03796430817127469,-0.10928096721130132
68,Kopila,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1092251,93.3088818,-0.2492285299134043,-0.2222808195792703,49,60,0.3766871474641662,0.2999525131127022,4,4,0.026947710334134012,-0.07673463435146399
69,Machang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0962492,93.3005705,-0.2729396271262213,-0.2643875681942141,49,60,0.3777469133688544,0.2891778919666035,4,4,0.008552058932007167,-0.08856902140225092
70,Nisuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1081822,93.414929,-0.3002374099846522,-0.2456873007924984,49,60,0.3866759134450314,0.2013429494101252,4,4,0.054550109192153806,-0.18533296403490618
71,Pipa,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0735847,93.283149,-0.2493787959966248,-0.2476628149743776,49,60,0.4006845903502335,0.2456513222827351,4,4,0.0017159810222472094,-0.15503326806749843
72,Ramu,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1084035,93.4191096,-0.3058571747840049,-0.2281970262245825,49,60,0.3769034352008827,0.2320393958314012,4,4,0.07766014855942244,-0.1448640393694815
73,Rane,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1440384,93.3476122,-0.2783264154039929,-0.301485112144449,49,60,0.3404687573534569,0.2228459847226206,4,4,-0.02315869674045612,-0.11762277263083629
74,Rawiok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.137739,93.3249207,-0.2558634123077426,-0.2685709822531695,49,60,0.3974014622335499,0.2360107031994843,4,4,-0.012707569945426878,-0.16139075903406558
75,Ruba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1221707,93.2334312,-0.2789138562999902,-0.2696600057806445,49,60,0.3986414197027551,0.2423357428912331,4,4,0.009253850519345741,-0.15630567681152197
76,Senamriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1320477,93.3191302,-0.2707960836494038,-0.2661765849147731,49,60,0.3923715083625729,0.2089022323738929,4,4,0.004619498734630689,-0.18346927598868
