system:index,after_image_count,before_image_count,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo
00000000000000000045,2,1,Damin,Kurung Kumey,true,0.20134294941012523,0.3866759134450314,-0.2645253198614407,-0.36997771727163525,Arunachal Pradesh,Nisuk,70,"{""type"":""Point"",""coordinates"":[93.41492976232635,28.108184281852985]}"
00000000000000000046,2,1,Damin,Kurung Kumey,true,0.24565132228273512,0.4006845903502335,-0.23582363507255866,-0.2893493199012559,Arunachal Pradesh,Pipa,71,"{""type"":""Point"",""coordinates"":[93.28314994889386,28.073586116779296]}"
00000000000000000047,2,1,Damin,Kurung Kumey,true,0.23203939583140126,0.37690343520088276,-0.23659133866035212,-0.36754421231555745,Arunachal Pradesh,Ramu,72,"{""type"":""Point"",""coordinates"":[93.41910794001343,28.1084027778046]}"
00000000000000000048,2,1,Damin,Kurung Kumey,true,0.22284598472262068,0.34046875735345694,-0.26886712524897693,-0.3350493953532069,Arunachal Pradesh,Rane,73,"{""type"":""Point"",""coordinates"":[93.34761071372247,28.144039913423743]}"
00000000000000000049,2,1,Damin,Kurung Kumey,true,0.23601070319948433,0.3974014622335499,-0.26090101870512483,-0.3312924854004715,Arunachal Pradesh,Rawiok,74,"{""type"":""Point"",""coordinates"":[93.32492280756254,28.137739203635224]}"
0000000000000000004a,2,1,Damin,Kurung Kumey,true,0.24233574289123314,0.3986414197027551,-0.2907063782840628,-0.33817791316632295,Arunachal Pradesh,Ruba,75,"{""type"":""Point"",""coordinates"":[93.23343097214794,28.12217248185764]}"
0000000000000000004b,2,1,Damin,Kurung Kumey,true,0.2089022323738929,0.39237150836257295,-0.2482382623489362,-0.3340435608263642,Arunachal Pradesh,Senamriang,76,"{""type"":""Point"",""coordinates"":[93.31913043529411,28.132049390691027]}"
0000000000000000004c,2,1,Damin,Kurung Kumey,true,0.27808119626809014,0.3906618517153255,-0.2572633275761441,-0.3247263744779091,Arunachal Pradesh,Sibia,77,"{""type"":""Point"",""coordinates"":[93.30126727647401,28.107020456478025]}"
0000000000000000004d,2,1,Damin,Kurung Kumey,true,0.12325450362687981,0.45312219398381476,-0.29898223102460336,-0.3602823450193642,Arunachal Pradesh,Tarba,78,"{""type"":""Point"",""coordinates"":[93.41954493191666,28.160752624172055]}"
0000000000000000004e,2,1,Damin,Kurung Kumey,true,0.21410674776519298,0.3956360517283984,-0.26530771373315787,-0.33967317417288234,Arunachal Pradesh,Tokriang,79,"{""type"":""Point"",""coordinates"":[93.33119676274474,28.111073779335616]}"
