village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_scl_before,ndbi_scl_after,ndbi_scl_before_image_count,ndbi_scl_after_image_count
134,Namazing,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.5506261,91.9768197,-0.26223942145430873,-0.26878151486059654,24,30
135,Rho,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.6141065,91.987227,-0.2476268182574057,-0.269062083625819,48,59
136,Kitpi,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284,-0.24450933449716694,-0.24624858251754045,24,30
137,Kitpi II,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284,-0.24450933449716694,-0.24624858251754045,24,30
138,Famla,Tawang,Tawang,Arunachal Pradesh,True,27.5612427,91.8523298,-0.23034112286845398,-0.26344243739930595,24,30
139,Gyangong Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.6003059,91.8525209,-0.23893803150166842,-0.2836605435111855,24,30
140,Jangda,Tawang,Tawang,Arunachal Pradesh,True,27.5942319,91.9742379,-0.23872315009725872,-0.25972639386352164,24,30
141,Mandrelling,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249,-0.10208984682981365,-0.08930536991962133,24,30
142,Sakpret,Tawang,Tawang,Arunachal Pradesh,True,27.57568,91.79901,-0.26183784850353176,-0.28381867010049605,24,30
143,Shyro,Tawang,Tawang,Arunachal Pradesh,True,27.5744459,91.9464757,-0.26381712335532403,-0.28643099581424386,24,30
144,Singsore Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249,-0.10208984682981365,-0.08930536991962133,24,30
145,Tawang Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5866091,91.8573902,-0.21376463608827903,-0.2258407976728769,24,30
146,Thongleng,Tawang,Tawang,Arunachal Pradesh,True,27.57294,91.79215,-0.26270629215375685,-0.3075612344176226,24,30
147,Brokenthang,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7352592,91.724121,-0.26509856610151095,-0.301320328781387,24,30
148,Gorsam,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6973252,91.7142454,-0.20023201410075786,-0.2235656196060811,24,30
149,Kharman,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.691851,91.7463062,-0.21744022333967403,-0.2479986943880979,24,30
150,Lumpo,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7204821,91.7144005,-0.280852905713985,-0.3032615317013469,24,30
151,Maling,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6350823,92.0693622,-0.29480397458116214,-0.2954312080313173,48,59
152,Muktur,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.5800562,91.6627629,-0.25492490297096304,-0.2712671283566273,24,30
153,Ramyang,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.514701,91.6549664,-0.25008236728995853,-0.2802250877850548,24,30
154,Shakti,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.61139,91.71387,-0.26681955515359457,-0.2774508816327615,24,30
155,Shoktsen,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7416556,91.7318533,-0.3123269754783469,-0.31368689724704996,24,30
156,Sirdi,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6466524,91.7230296,-0.24196921075978994,-0.256965736632877,24,30
157,Bishing,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.1107736,95.0268102,-0.3099695296338258,-0.25591129401239415,25,31
158,Bona,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.0974164,94.9475348,-0.34099515877743647,-0.30467877487221684,25,31
159,Mankota,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,28.8878329,95.0759463,-0.29271403029193604,-0.2715699572188473,104,123
160,Mayum,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.0924208,94.9597907,-0.3023406883979679,-0.3007020838118888,25,31
161,Tashi Gaon,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,28.8743385,95.1028336,-0.33114493433217695,-0.3126858237264276,104,123
162,Jido,Upper Siang,Tuting,Arunachal Pradesh,True,28.9820594,94.904882,-0.2430065948827735,-0.21263311732095896,25,31
163,Lali,Upper Siang,Tuting,Arunachal Pradesh,True,29.0003932,94.8912175,-0.1884408635595338,-0.17525274754801398,25,31
164,Ngaming,Upper Siang,Tuting,Arunachal Pradesh,True,28.9686342,94.9381419,-0.2552811043683788,-0.2237853922842086,25,31
165,Nyering,Upper Siang,Tuting,Arunachal Pradesh,True,28.9360701,95.0104597,-0.32630853197113246,-0.2920846411920503,26,31
166,Pango,Upper Siang,Tuting,Arunachal Pradesh,True,28.8870297,94.7578559,-0.2730140007962343,-0.2219418819664516,52,61
167,Pekong,Upper Siang,Tuting,Arunachal Pradesh,True,28.9878787,94.8919255,-0.18366949006396616,-0.17303645998821598,25,31
168,Pekong,Upper Siang,Tuting,Arunachal Pradesh,True,28.9878787,94.8919255,-0.18366949006396616,-0.17303645998821598,25,31
169,Pokbir,Upper Siang,Tuting,Arunachal Pradesh,True,28.963981,94.9375517,-0.2568935157034305,-0.21784800565667106,25,31
170,Rishing,Upper Siang,Tuting,Arunachal Pradesh,True,28.9984023,94.8852907,-0.16089781142881504,-0.14784706286918667,25,31
171,Tenggo,Upper Siang,Tuting,Arunachal Pradesh,True,29.0668244,94.478654,-0.28122324686157457,-0.30245072848602134,25,31
172,Dadu,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.3625828,93.5395735,-0.24258502300716164,-0.22195381296136635,25,30
173,Gumsing,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4321817,93.2172532,-0.30064146197487834,-0.3135063710651537,49,60
174,Lingbing,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4367283,93.2151175,-0.2902600504757161,-0.2914888653013333,49,60
175,Redding,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4851077,93.4621565,-0.28402282385524397,-0.3161092100877294,49,61
176,Redding Camp,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4851077,93.4621565,-0.28402282385524397,-0.3161092100877294,49,61
177,Taying,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4321817,93.2172532,-0.30064146197487834,-0.3135063710651537,49,60
178,Yaja,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4354329,93.2468461,-0.2644187105446716,-0.2933480645218311,49,60
179,Chokar,Upper Subansiri,Nacho,Arunachal Pradesh,True,28.4279157,93.8094041,-0.2813638280531717,-0.2738618401375165,25,30
180,Jerigaon,West Kameng,Nafra,Arunachal Pradesh,True,27.3403204,92.4726477,-0.1950733421588104,-0.21226032057158167,24,29
181,Khellong,West Kameng,Nafra,Arunachal Pradesh,True,27.0133852,92.4145185,-0.3090970096461676,-0.2935581600240958,24,30
182,Gatam,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0979458,93.6001405,-0.31461207059058466,-0.29748122393262205,25,30
183,Habak,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.1084846,93.5827385,-0.3116079094818176,-0.2850802778842787,25,30
184,Hapuk (I),Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0967863,93.5839299,-0.3070463784627717,-0.3059283759999601,25,30
185,Kokso,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0838152,93.6115937,-0.2913847929596349,-0.2780674689012992,25,30
186,Richik,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.064816,93.6543383,-0.27947300157200317,-0.2721398443761894,25,30
187,Chungthang,North,Chungthang,Sikkim,True,27.604236,88.6465196,-0.16606852416712847,-0.1357617152613111,24,31
188,Tung,North,Chungthang,Sikkim,True,27.5475,88.6493,-0.2590556748933354,-0.22539495508526747,24,31
189,Chawang,North,Kabi Tingda,Sikkim,True,27.4415,88.5992,-0.24219997666616833,-0.25812311632853585,24,31
190,Labi,North,Kabi Tingda,Sikkim,True,27.4373,88.6584,-0.2219829449769408,-0.26173586436073015,24,31
191,Paney-Phensong,North,Kabi Tingda,Sikkim,True,27.4340487,88.6127695,-0.21334431468220316,-0.23618183443970553,24,31
192,Phamtam,North,Kabi Tingda,Sikkim,True,27.4557,88.61,-0.24003037782906966,-0.23413874412696398,24,31
193,Phodong,North,Kabi Tingda,Sikkim,True,27.4130306,88.5838702,-0.21671628365170653,-0.26025918244898066,24,31
194,Ramthang,North,Kabi Tingda,Sikkim,True,27.4039854,88.550947,-0.21663520352822188,-0.24217946760669887,24,31
195,Rongong,North,Kabi Tingda,Sikkim,True,27.4092,88.5635,-0.24757364427265188,-0.2660848063293868,24,31
