system:index,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo
0000000000000000003b,Damin,Kurung Kumey,True,0.2517012666103949,0.2997521489825179,-0.3086677363524618,-0.3410025123468583,Arunachal Pradesh,Chate,60,"{""type"":""Point"",""coordinates"":[93.32362520915599,28.11918042505078]}"
0000000000000000003c,Damin,Kurung Kumey,True,0.2460869967836672,0.317717026494939,-0.3448323544809763,-0.3184598430199732,Arunachal Pradesh,Chulla,61,"{""type"":""Point"",""coordinates"":[93.41127329946252,28.124299473060137]}"
0000000000000000003d,Damin,Kurung Kumey,True,0.5181143301433337,0.3345424962335812,-0.2262679418032296,-0.2609824169467073,Arunachal Pradesh,Damin H.Q.,62,"{""type"":""Point"",""coordinates"":[93.33438501999797,28.1041978455112]}"
0000000000000000003e,Damin,Kurung Kumey,True,0.3288266801186517,0.3024667340543477,-0.3254359147816595,-0.306036017254939,Arunachal Pradesh,Damin Village,63,"{""type"":""Point"",""coordinates"":[93.34435556995346,28.10500940190293]}"
0000000000000000003f,Damin,Kurung Kumey,True,0.2138283255865365,0.2913440874341598,-0.381902626393348,-0.3601819320011926,Arunachal Pradesh,Digok,64,"{""type"":""Point"",""coordinates"":[93.34968865481338,28.127251397957515]}"
00000000000000000040,Damin,Kurung Kumey,True,0.1989545946097159,0.3263191350238739,-0.3014846598980231,-0.3392218373559768,Arunachal Pradesh,Fuba,65,"{""type"":""Point"",""coordinates"":[93.33768029567646,28.11985374930985]}"
00000000000000000041,Damin,Kurung Kumey,True,0.2689520869482635,0.3186487288903714,-0.2713559432224904,-0.2845250339275264,Arunachal Pradesh,Huri,66,"{""type"":""Point"",""coordinates"":[93.30459822496094,28.109508634865858]}"
00000000000000000042,Damin,Kurung Kumey,True,0.2303687288401137,0.3309190618451191,-0.2458694481715639,-0.2899996159634861,Arunachal Pradesh,Katuk,67,"{""type"":""Point"",""coordinates"":[93.2501392237952,28.118908419886516]}"
00000000000000000043,Damin,Kurung Kumey,True,0.2893521634557637,0.3117375056148909,-0.2743459403109317,-0.2663701023881273,Arunachal Pradesh,Kopila,68,"{""type"":""Point"",""coordinates"":[93.30888342107332,28.10922325239843]}"
00000000000000000044,Damin,Kurung Kumey,True,0.2431771439802231,0.3141732141960885,-0.3182102539408525,-0.3138728869704436,Arunachal Pradesh,Machang,69,"{""type"":""Point"",""coordinates"":[93.30057165670968,28.096247268332903]}"
