village_id,village,district,block,state,is_core_sample,latitude,longitude,built_before,built_after,built_before_image_count,built_after_image_count
111,Bala,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9431025,93.1252507,0.03155436691104905,0.03531254773192879,79,90
112,Chaching,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9375989,93.2339474,0.03424371606628199,0.03513854725714734,79,90
113,Chulu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8792111,93.0545229,0.03165487257904328,0.03256835070145833,101,98
114,Gane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9643147,93.0391329,0.035787165536445516,0.03487191602863221,157,196
115,Haraiho,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9804475,93.1383943,0.03229316370503514,0.03302548749141422,79,90
116,Kapu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8879985,93.075251,0.04331262586591256,0.06539876634620873,101,98
117,Koropu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9899045,93.2023371,0.03554858611622835,0.04464616688087524,79,90
118,Machane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9220981,93.0770012,0.034044339095477466,0.03518125116657603,101,98
119,Malo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9563848,93.1153543,0.03519273174141308,0.03830604704320313,79,90
120,Milli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9506354,93.0574678,0.03810384111357607,0.052027181083667856,157,196
121,Namjo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.942996,93.1849686,0.031071447811887244,0.03133513864345107,79,90
122,New Sarli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9582217,93.1705235,0.0490877844443794,0.05782397943900731,79,90
123,Riya,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8776779,93.0467319,0.0321931098473767,0.03345005693187721,101,98
124,Sape,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9549291,93.1321419,0.04509067691300989,0.04996787216451033,79,90
125,Sarli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9525582,93.163373,0.17964231410867224,0.19286076826781995,79,90
126,Sate,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9537376,93.1572444,0.13795343289515963,0.1506175561632697,79,90
127,Wabia,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9413919,93.1360402,0.04014546280495818,0.03576083631677113,79,90
128,Walu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9413919,93.1360402,0.04014546280495818,0.03576083631677113,79,90
