village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
53,Kesse Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7809294,93.2034502,-0.26640941311970523,-0.2836940098021676,49,61,0.38610515451696914,0.3270960972086632,4,4
54,Langchu Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7569534,92.9355132,-0.2507234508977449,-0.24433356444578863,49,59,0.38048256629846755,0.1732126913933575,4,4
55,Nampe Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7140627,93.0313033,-0.23738074661211586,-0.237733866504935,98,120,0.372583702979942,0.3017473524669185,4,4
56,Raro Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6890058,93.0717372,-0.26742537392876997,-0.2688908250171726,98,120,0.41268145915751087,0.3311711273034946,4,4
57,Tamsang Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6760974,93.0917894,-0.26430717267991366,-0.26080985387105066,98,120,0.3892590767927677,0.3312381278036693,4,4
58,Warriam Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7279436,92.9802579,-0.22909868376949608,-0.21717418180077322,49,59,0.37993985617911075,0.24629021233612006,4,4
59,Wallong,East Kameng,Khenewa,Arunachal Pradesh,True,27.6530641,92.9685879,-0.24212750962475468,-0.2840732856910491,49,60,0.29926606651458,0.24813966847248584,4,4
60,Chate,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1191826,93.3236259,-0.28318783484259186,-0.2687715820906629,49,60,0.38612451313330487,0.2179914937919235,4,4
61,Chulla,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1242982,93.411274,-0.28589280901771286,-0.27806175485545703,49,60,0.3876653163710477,0.1563406806671992,4,4
62,Damin H.Q.,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1041982,93.3343841,-0.26141379074768467,-0.25373293664597923,49,60,0.3517090619306349,0.25881915296950136,4,4
63,Damin Village,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1050092,93.3443566,-0.2504550042261367,-0.25150917441680254,49,60,0.34647386092630467,0.22283856793865148,4,4
