village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
78,Tarba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1607522,93.4195471,-0.2875335952323324,-0.2730919081552871,49,60,0.4631078150294243,0.1241743093988764,4,4
79,Tokriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1110736,93.3311986,-0.259371548832917,-0.25897128560693244,49,60,0.39430615319029355,0.20464757767542868,4,4
80,Yaso,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1002726,93.3473375,-0.2515571850644719,-0.2753998634502811,49,60,0.3781888801521725,0.1960333345996009,4,4
81,Buhan,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8895447,93.283152,-0.27908026559067334,-0.31122680443591316,49,61,0.22590182224909466,0.35247716089906217,4,4
82,Buyang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,-0.2696706347985684,-0.2649779789388935,98,121,0.3230309690785619,0.3083406971619192,4,4
83,Buyang-II,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,-0.2696706347985684,-0.2649779789388935,98,121,0.3230309690785619,0.3083406971619192,4,4
84,Chello,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8849215,93.291646,-0.2151056721689058,-0.2153609767114651,49,61,0.3242256578090972,0.42033185209848184,4,4
85,Chimpu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9522411,93.2566277,-0.28561970975051587,-0.25991219335399,98,121,0.31064978491367223,0.45783039179142354,4,4
86,Chomi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.955673,93.2595487,-0.29560849152520335,-0.2692290968046402,98,121,0.33734513885152023,0.3770685781419804,4,4
87,Chote,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9524396,93.2616596,-0.28755023844480915,-0.27848256700105606,98,121,0.3700909162109549,0.5188863453539935,4,4
88,Kiodhriang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8581693,93.2541827,-0.2550207754050893,-0.25132421513531206,49,61,0.42287208839904433,0.31602325591930125,4,4
