village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
93,Malinye,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6750197,96.1532235,28.30539834121112,control (non-VVP),True,-0.20005965299823478,-0.2224623783494047,49,59,0.39400167556550403,0.12882270413957186,4,4
94,Mihundo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.829056,95.9393137,28.63456657099252,control (non-VVP),True,-0.20403258422401715,-0.21773548024433134,196,236,0.37524862335531756,0.25442817556923925,4,4
95,Akolin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8236778,95.9416852,28.7025968619355,control (non-VVP),True,-0.18272144367255713,-0.1839596098257952,196,236,0.3565528583323116,0.24673457977070687,4,4
96,Ayongo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8230669,95.9418373,28.721637456999456,control (non-VVP),True,-0.18142439736641053,-0.18052304903105557,196,236,0.35137087303203535,0.24219230611573206,4,4
97,Ahunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8140704,95.9419262,29.207691783496173,control (non-VVP),True,-0.18742872943275904,-0.22022252044921142,196,236,0.42730494573876093,0.18295329339229144,4,4
98,Angulin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9748478,95.8112262,29.219148052304423,control (non-VVP),True,-0.2224266082008676,-0.21788145744071985,49,59,0.44451396781639013,0.17176815166486703,4,4
99,Makuni,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8221427,95.9310087,29.73185832769066,control (non-VVP),True,-0.21146337426198525,-0.23290631504054904,196,236,0.38957351026377157,0.2234483767305025,4,4
100,Etabe,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8079186,95.9351971,30.141389334028432,control (non-VVP),True,-0.20391846277382686,-0.21888242570428984,196,236,0.420448294436053,0.1955335500052791,4,4
101,Baro,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7934003,95.9284162,31.57913667847971,control (non-VVP),True,-0.21216501695424647,-0.218355529641245,98,118,0.4894828526715262,0.16377765235318023,4,4
102,Apanli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6700204,96.1056557,31.66608180940293,control (non-VVP),True,-0.2505522940680641,-0.30163103204251457,100,118,0.37547084111135637,0.23068105287415563,4,4
103,Larango,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7880718,95.918821,32.71559961872168,control (non-VVP),True,-0.19819980555503625,-0.2190933833642012,49,59,0.46437361458147863,0.195943710244123,4,4
104,Brango,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9405604,95.8173923,33.115232581316185,control (non-VVP),True,-0.19349933467172842,-0.21411588147784286,49,59,0.3682166614631811,0.1456861077952716,4,4
105,Amuli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7875753,95.9141519,33.14199958509013,control (non-VVP),True,-0.1797265855144981,-0.2102448435525012,49,59,0.49159790560750677,0.2655968113963229,4,4
106,Akunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8111887,95.8962517,33.401423327619106,control (non-VVP),True,-0.25083193732029113,-0.20736625384017207,98,118,0.5519588015564195,0.5242472524662595,4,4
107,Karu,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8049354,95.8992688,33.45527674077572,control (non-VVP),True,-0.21483581089238182,-0.19554875304832434,98,118,0.5500000059473358,0.7015666330175779,4,4
108,Tanga II,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8136293,95.893295,33.54569889448366,control (non-VVP),True,-0.2727312691783982,-0.23611844248660216,98,118,0.44594027365730926,0.28110619639334955,4,4
109,Akhunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6685127,96.059513,33.88230210366286,control (non-VVP),True,-0.23321819520028297,-0.2799050550364454,100,118,0.383170537469666,0.1709906156308472,4,4
110,Chanli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6033089,96.0280734,34.00517852179684,control (non-VVP),True,-0.27583337324144436,-0.3225055323416585,100,118,0.3739516135715404,0.21129310166709817,4,4
111,Maro,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8314281,95.8735957,34.54905619914438,control (non-VVP),True,-0.24276851473395353,-0.2359160700552417,98,118,0.3952853952490537,0.20036223620732452,4,4
112,Tapo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8150846,95.8784431,34.8231650357766,control (non-VVP),True,-0.26446875327229613,-0.2650548674822379,98,118,0.2813806406604444,0.2295544536003579,4,4
113,Amboli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7782095,95.9006268,34.85590058999098,control (non-VVP),True,-0.20149172110659577,-0.22748234998589673,49,59,0.36758830511806817,0.2369619189179759,4,4
114,Charkilo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8156575,95.8773093,34.899804844874176,control (non-VVP),True,-0.26135184145487483,-0.2618573953037674,98,118,0.2822002213452384,0.21971947015380963,4,4
115,Maroli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8551403,95.8604802,34.92281136175568,control (non-VVP),True,-0.2487170736209555,-0.2653748596259678,98,118,0.3499449439642186,0.15242841262124182,4,4
116,Angulin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7972034,95.8857247,35.06554769194197,control (non-VVP),True,-0.22349201575367525,-0.21718175993709843,49,59,0.35121011684830045,0.49806931093581047,4,4
117,Emoli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8871158,95.8356573,36.47291914494567,control (non-VVP),True,-0.2634856016425803,-0.23080677614311365,98,118,0.364636161985839,0.1670424492317103,4,4
