village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified
123,Alombro,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8912928,95.8139536,38.352440937823914,control (non-VVP),True
124,岷东,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7733786,95.8573956,38.856782355912415,control (non-VVP),True
125,昂里,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6444365,95.9929441,39.293403726414894,control (non-VVP),True
126,阿米里,Dibang Valley,Unknown,Arunachal Pradesh,True,28.3999197,95.9040857,40.10108845934955,control (non-VVP),True
127,Ashambra,Dibang Valley,Unknown,Arunachal Pradesh,True,28.4083935,95.8960457,40.86209392346507,control (non-VVP),True
128,Immli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7250516,95.8683257,40.958816216957,control (non-VVP),True
129,Koronli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.4146922,95.8929454,41.15421910102154,control (non-VVP),True
130,Waing,East Kameng,Unknown,Arunachal Pradesh,True,27.7737215,92.9303658,29.10858027933751,control (non-VVP),True
131,Langchu Sollung,East Kameng,Unknown,Arunachal Pradesh,True,27.7569534,92.9355132,30.5761082507588,control (non-VVP),True
132,Saria Takhong,East Kameng,Unknown,Arunachal Pradesh,True,27.7461293,92.9324466,31.035622311214954,control (non-VVP),True
133,Takung Sullung,East Kameng,Unknown,Arunachal Pradesh,True,27.737803,92.9545701,33.380068855589585,control (non-VVP),True
134,Weigung Sullung,East Kameng,Unknown,Arunachal Pradesh,True,27.7282868,92.9780365,35.92039371723893,control (non-VVP),True
135,Mechar,East Kameng,Unknown,Arunachal Pradesh,True,27.7792152,93.0216134,36.57055063572135,control (non-VVP),True
136,Mechi,East Kameng,Unknown,Arunachal Pradesh,True,27.7740086,93.0208212,36.81218902189876,control (non-VVP),True
137,Yakli,East Kameng,Unknown,Arunachal Pradesh,True,27.7643991,93.0211222,37.40604903044489,control (non-VVP),True
138,Venia,East Kameng,Unknown,Arunachal Pradesh,True,27.7340861,93.0020799,37.572833559048185,control (non-VVP),True
139,Veo,East Kameng,Unknown,Arunachal Pradesh,True,27.7219814,93.017386,39.59905589006902,control (non-VVP),True
140,Lamniya,East Kameng,Unknown,Arunachal Pradesh,True,27.7095829,93.0130663,40.008997798796365,control (non-VVP),True
141,Kapa,East Kameng,Unknown,Arunachal Pradesh,True,27.6655139,92.9735655,40.05971025567609,control (non-VVP),True
142,Chaling,East Kameng,Unknown,Arunachal Pradesh,True,27.66365,92.9723051,40.11361225940977,control (non-VVP),True
143,Parte,East Kameng,Unknown,Arunachal Pradesh,True,27.689839,93.0024418,40.46452619403954,control (non-VVP),True
144,Tabey,East Kameng,Unknown,Arunachal Pradesh,True,27.6122188,92.9122259,40.65625906356993,control (non-VVP),True
